n,avg_rounds,min_rounds,max_rounds,std_dev
10,5.57667,4,9,1.12918
20,8.12,6,15,1.48985
30,10.5267,6,16,2.11127
40,12.0367,8,19,2.06467
50,13.3667,9,20,2.32887
60,14.6833,9,24,3.12339
70,16.7533,10,26,2.96227
80,16.31,10,25,3.35232
90,18.16,12,28,3.72119
100,18.6933,11,30,3.5404
110,21.4967,12,36,4.76435
120,20.1667,13,35,4.36912
130,20.8367,12,34,4.15542
140,22.6067,13,36,4.77297
150,23.07,14,37,4.10136
160,21.5933,14,33,3.8684
170,24.8067,12,40,5.50548
180,24.0567,14,40,5.11017
190,26.2433,14,44,5.28557
200,25.4467,15,44,5.46872
