n = 10:
Trial 1: 5, 6, 5, 6, 5, 4, 6, 4, 4, 5, 5, 6, 5, 4, 5
Trial 2: 5, 4, 6, 5, 6, 5, 5, 5, 4, 5, 6, 5, 6, 6, 4
Trial 3: 7, 8, 9, 5, 7, 6, 9, 6, 7, 7, 9, 8, 9, 7, 5
Trial 4: 5, 8, 6, 7, 8, 7, 5, 7, 7, 5, 5, 6, 8, 6, 7
Trial 5: 6, 4, 6, 6, 4, 5, 5, 6, 4, 4, 6, 5, 4, 4, 4
Trial 6: 5, 4, 4, 5, 4, 6, 5, 4, 5, 5, 5, 4, 5, 5, 5
Trial 7: 4, 6, 5, 5, 5, 5, 6, 6, 5, 6, 6, 5, 6, 4, 5
Trial 8: 5, 4, 4, 5, 6, 5, 6, 5, 4, 5, 5, 5, 5, 5, 4
Trial 9: 5, 6, 6, 6, 4, 4, 4, 6, 6, 6, 6, 6, 5, 4, 4
Trial 10: 5, 5, 5, 6, 5, 5, 6, 4, 5, 5, 6, 4, 6, 5, 4
Trial 11: 6, 6, 5, 4, 6, 5, 6, 5, 6, 5, 5, 6, 5, 6, 5
Trial 12: 4, 6, 5, 6, 5, 6, 7, 7, 7, 6, 4, 6, 4, 6, 6
Trial 13: 6, 6, 6, 6, 6, 5, 5, 4, 4, 6, 6, 5, 6, 6, 5
Trial 14: 5, 9, 7, 7, 5, 9, 7, 7, 8, 7, 7, 6, 7, 7, 7
Trial 15: 4, 5, 7, 4, 4, 6, 5, 7, 5, 6, 5, 7, 6, 4, 7
Trial 16: 6, 5, 6, 4, 7, 5, 4, 4, 6, 5, 4, 6, 5, 6, 4
Trial 17: 7, 6, 7, 5, 6, 5, 4, 6, 5, 5, 4, 5, 7, 4, 6
Trial 18: 5, 4, 6, 6, 5, 6, 7, 6, 6, 7, 6, 4, 6, 7, 6
Trial 19: 6, 6, 7, 7, 6, 5, 6, 6, 5, 5, 5, 6, 5, 6, 5
Trial 20: 7, 7, 6, 7, 7, 8, 6, 7, 5, 7, 5, 7, 7, 7, 5
n = 20:
Trial 1: 7, 7, 7, 6, 9, 7, 7, 7, 9, 6, 10, 8, 7, 7, 7
Trial 2: 8, 8, 6, 7, 10, 8, 7, 7, 8, 8, 10, 6, 9, 7, 6
Trial 3: 10, 12, 8, 9, 11, 9, 8, 13, 9, 15, 12, 10, 12, 12, 15
Trial 4: 9, 8, 7, 8, 8, 7, 9, 9, 8, 8, 6, 8, 9, 7, 7
Trial 5: 9, 7, 10, 8, 9, 8, 8, 6, 8, 8, 7, 10, 8, 9, 10
Trial 6: 9, 10, 10, 9, 9, 10, 9, 11, 9, 9, 10, 10, 10, 9, 8
Trial 7: 7, 8, 6, 8, 10, 8, 8, 8, 8, 7, 7, 10, 8, 9, 8
Trial 8: 7, 7, 7, 7, 8, 7, 10, 7, 7, 9, 8, 6, 6, 7, 8
Trial 9: 8, 9, 8, 7, 9, 6, 8, 8, 10, 6, 8, 9, 8, 8, 9
Trial 10: 7, 8, 8, 8, 7, 8, 7, 6, 8, 8, 8, 6, 6, 6, 6
Trial 11: 10, 8, 12, 9, 9, 7, 11, 11, 7, 10, 7, 12, 11, 7, 9
Trial 12: 7, 9, 8, 8, 7, 7, 9, 7, 7, 8, 9, 7, 9, 7, 9
Trial 13: 7, 7, 8, 7, 7, 8, 8, 6, 8, 9, 7, 8, 9, 7, 7
Trial 14: 6, 8, 8, 8, 10, 10, 10, 6, 8, 8, 8, 8, 9, 9, 6
Trial 15: 7, 6, 8, 9, 9, 8, 6, 10, 6, 6, 6, 8, 7, 6, 9
Trial 16: 7, 10, 7, 10, 12, 9, 9, 7, 9, 8, 10, 10, 8, 7, 9
Trial 17: 7, 7, 6, 8, 8, 7, 6, 9, 8, 8, 8, 8, 6, 8, 8
Trial 18: 9, 8, 6, 9, 6, 9, 8, 10, 8, 8, 9, 7, 8, 8, 7
Trial 19: 9, 6, 6, 7, 8, 7, 8, 8, 7, 8, 7, 8, 7, 8, 9
Trial 20: 8, 8, 9, 9, 8, 8, 10, 7, 7, 7, 9, 7, 8, 9, 6
n = 30:
Trial 1: 8, 10, 11, 11, 15, 11, 11, 13, 10, 11, 13, 13, 13, 8, 9
Trial 2: 10, 8, 8, 9, 9, 8, 8, 9, 10, 9, 10, 7, 10, 10, 9
Trial 3: 9, 9, 8, 10, 8, 8, 9, 7, 10, 9, 7, 6, 9, 8, 9
Trial 4: 9, 9, 11, 10, 10, 9, 10, 7, 8, 9, 9, 9, 10, 8, 8
Trial 5: 11, 11, 9, 9, 10, 11, 12, 9, 12, 10, 11, 8, 9, 10, 11
Trial 6: 9, 8, 7, 9, 8, 10, 9, 9, 8, 9, 8, 9, 8, 9, 8
Trial 7: 11, 10, 9, 8, 8, 8, 7, 9, 11, 10, 10, 9, 12, 9, 9
Trial 8: 13, 13, 10, 10, 13, 10, 13, 11, 12, 9, 14, 10, 10, 10, 10
Trial 9: 11, 9, 9, 7, 9, 8, 8, 9, 11, 7, 9, 7, 10, 8, 10
Trial 10: 11, 13, 10, 11, 12, 11, 12, 10, 11, 10, 11, 12, 9, 9, 13
Trial 11: 13, 15, 12, 13, 11, 14, 9, 10, 9, 14, 11, 15, 13, 9, 9
Trial 12: 10, 12, 13, 10, 10, 10, 10, 10, 9, 13, 10, 11, 13, 12, 9
Trial 13: 10, 12, 10, 11, 12, 7, 10, 8, 9, 12, 11, 12, 10, 10, 10
Trial 14: 15, 15, 14, 12, 10, 12, 14, 13, 15, 14, 14, 14, 10, 15, 9
Trial 15: 9, 13, 11, 9, 9, 8, 10, 10, 13, 11, 7, 9, 11, 10, 11
Trial 16: 10, 14, 10, 14, 10, 10, 12, 13, 10, 14, 14, 10, 12, 13, 13
Trial 17: 12, 9, 10, 11, 11, 13, 13, 14, 9, 13, 12, 14, 11, 13, 12
Trial 18: 9, 9, 7, 9, 10, 9, 10, 8, 12, 11, 8, 9, 12, 7, 8
Trial 19: 10, 11, 16, 16, 11, 11, 13, 15, 12, 9, 13, 16, 15, 16, 15
Trial 20: 13, 13, 10, 9, 10, 13, 13, 14, 10, 14, 14, 10, 13, 10, 10
n = 40:
Trial 1: 8, 11, 11, 10, 8, 9, 13, 8, 10, 9, 9, 11, 10, 10, 14
Trial 2: 16, 16, 11, 16, 17, 12, 16, 15, 11, 12, 15, 15, 13, 17, 12
Trial 3: 15, 12, 12, 14, 12, 11, 12, 11, 14, 9, 11, 9, 14, 11, 13
Trial 4: 15, 17, 14, 19, 14, 17, 15, 12, 16, 12, 12, 18, 13, 13, 10
Trial 5: 12, 14, 12, 10, 13, 8, 10, 12, 11, 11, 10, 10, 12, 10, 11
Trial 6: 11, 10, 12, 11, 11, 17, 13, 10, 11, 10, 11, 16, 13, 17, 12
Trial 7: 14, 12, 10, 10, 14, 14, 14, 10, 11, 11, 10, 12, 14, 10, 14
Trial 8: 15, 10, 10, 12, 10, 9, 14, 11, 12, 11, 11, 13, 13, 14, 13
Trial 9: 11, 12, 12, 10, 10, 11, 12, 11, 12, 11, 16, 11, 12, 10, 12
Trial 10: 9, 12, 12, 12, 12, 11, 13, 12, 13, 12, 12, 10, 10, 8, 11
Trial 11: 12, 13, 13, 13, 13, 15, 9, 11, 11, 12, 10, 13, 15, 11, 12
