n,avg_total_comparisons,avg_per_n,std_dev
100,1778.33,17.78,8.18
200,4107.67,20.54,25.59
300,6732.00,22.44,13.14
400,9427.67,23.57,6.55
500,12300.00,24.60,14.31
600,15171.67,25.29,29.33
700,18160.67,25.94,60.73
800,21205.67,26.51,48.24
900,24376.67,27.09,74.27
1000,27543.33,27.54,39.94
1100,30686.67,27.90,75.19
1200,33856.33,28.21,53.63
1300,37155.33,28.58,11.81
1400,40459.00,28.90,12.75
1500,43701.00,29.13,49.52
1600,47124.00,29.45,45.37
1700,50410.33,29.65,65.40
1800,53994.33,30.00,31.35
1900,57332.00,30.17,58.55
2000,60921.33,30.46,105.21
2100,64341.67,30.64,61.46
2200,67729.67,30.79,97.21
2300,71243.33,30.98,91.41
2400,74737.33,31.14,97.34
2500,78393.67,31.36,56.43
2600,81833.00,31.47,44.29
2700,85427.33,31.64,95.11
2800,89029.00,31.80,26.19
2900,92597.00,31.93,88.89
3000,96324.00,32.11,12.25
3100,99958.33,32.24,98.41
3200,103454.33,32.33,64.82
3300,107030.67,32.43,104.18
3400,110600.33,32.53,21.08
3500,114419.67,32.69,64.60
3600,118208.33,32.84,45.54
3700,121849.33,32.93,64.32
3800,125629.67,33.06,35.31
3900,129485.67,33.20,37.56
4000,133132.67,33.28,94.67
4100,137255.33,33.48,28.55
4200,140822.67,33.53,122.79
4300,144355.00,33.57,102.14
4400,148204.67,33.68,21.17
4500,151876.00,33.75,93.21
4600,155796.00,33.87,82.74
4700,159400.00,33.91,57.91
4800,163080.00,33.98,51.05
4900,166866.67,34.05,138.11
5000,171061.67,34.21,67.53
5100,174661.33,34.25,72.39
5200,178535.00,34.33,43.91
5300,182328.33,34.40,68.05
5400,186080.00,34.46,128.02
5500,189773.67,34.50,48.40
5600,193780.00,34.60,69.23
5700,197760.33,34.69,60.61
5800,201449.67,34.73,137.78
5900,205590.00,34.85,91.73
6000,209631.67,34.94,79.16
6100,213560.67,35.01,58.46
6200,217492.33,35.08,157.43
6300,221087.00,35.09,89.96
6400,225040.67,35.16,84.92
6500,228872.00,35.21,134.89
6600,232663.33,35.25,312.47
6700,236655.33,35.32,183.84
6800,240448.00,35.36,115.19
6900,244433.00,35.43,62.38
7000,248379.67,35.48,97.62
7100,252390.33,35.55,176.38
7200,256677.33,35.65,71.16
7300,260322.67,35.66,121.69
7400,264300.33,35.72,193.92
7500,268273.33,35.77,118.51
7600,272410.33,35.84,66.80
7700,276243.00,35.88,125.33
7800,280346.33,35.94,32.74
7900,284381.00,36.00,19.03
8000,288634.67,36.08,117.31
8100,292907.67,36.16,139.23
8200,297105.67,36.23,158.82
8300,300728.67,36.23,86.31
8400,304671.33,36.27,152.30
8500,308442.67,36.29,108.81
8600,312510.00,36.34,184.01
8700,316494.00,36.38,130.18
8800,320459.67,36.42,117.55
8900,324247.00,36.43,147.30
9000,328521.33,36.50,262.32
9100,332606.00,36.55,83.36
9200,336658.33,36.59,165.82
9300,340641.67,36.63,167.88
9400,344492.67,36.65,66.19
9500,348404.00,36.67,127.89
9600,352633.33,36.73,128.73
9700,356563.33,36.76,227.83
9800,360772.33,36.81,46.58
9900,364673.67,36.84,83.80
10000,368866.00,36.89,148.27
