trial,cost,time_ms
0,2390610,524
1,2426057,536
2,2427285,551
3,2419923,539
4,2405316,532
5,2429396,538
6,2406829,531
7,2430880,534
8,2446681,537
9,2367802,526
10,2489886,527
11,2457361,529
12,2399564,531
13,2390084,523
14,2404722,527
15,2454180,529
16,2416226,523
17,2437558,526
18,2456448,525
19,2433645,522
20,2430334,528
21,2383585,523
22,2395114,529
23,2342390,524
24,2380319,523
25,2400507,522
26,2423868,523
27,2390029,525
28,2374147,524
29,2388622,526
30,2425172,531
31,2466045,530
32,2404847,524
33,2478989,524
34,2392397,527
35,2427935,523
36,2370731,524
37,2371279,526
38,2391552,525
39,2388596,533
40,2380135,535
41,2442050,530
42,2421921,527
43,2376138,523
44,2396785,525
45,2365519,524
46,2414222,523
47,2447530,526
48,2439806,527
49,2428486,527
50,2365705,527
51,2379827,534
52,2357543,547
53,2375774,527
54,2433948,525
55,2439581,529
56,2435984,530
57,2415161,530
58,2399454,528
59,2467713,524
60,2406275,529
61,2393794,532
62,2410740,528
63,2366713,522
64,2390251,524
65,2436575,525
66,2421783,525
67,2377136,528
68,2468505,541
69,2411887,562
70,2416567,544
71,2428544,542
72,2411265,531
73,2422253,531
74,2415779,540
75,2429096,535
76,2397476,533
77,2425083,531
78,2465252,554
79,2458493,568
80,2403103,587
81,2372980,574
82,2412874,610
83,2415428,572
84,2442064,600
85,2496863,546
86,2383562,551
87,2408491,555
88,2390341,551
89,2413811,555
90,2382573,536
91,2399902,528
92,2390838,523
93,2367565,529
94,2391939,522
95,2383498,528
96,2431140,522
97,2336800,522
98,2444707,520
99,2347552,520
