order,city_id,x,y
0,6750,31331.1,30741.7
1,6657,31310.3,30737.5
2,6647,31307.5,30753.6
3,6691,31317.5,30747.5
4,6676,31316.7,30750
5,6453,31272.2,30762.8
6,6728,31327.2,30747.2
7,6590,31296.4,30724.4
8,6599,31299.7,30758.9
9,6823,31350,30750
10,6831,31350.8,30867.5
11,6787,31340.3,30873.6
12,6734,31328.6,30858.9
13,6233,31233.3,30900
14,6640,31305.8,30913.6
15,6939,31391.4,30963.9
16,6697,31319.4,31025
17,6752,31331.1,30929.2
18,6742,31330.3,30946.4
19,6581,31295.3,30951.1
20,6404,31264.7,30948.9
21,6414,31266.1,30915.8
22,6631,31304.2,30971.4
23,6463,31273.6,31012.5
24,6010,31193.6,30992.2
25,6193,31226.4,31038.9
26,6419,31266.7,31000
27,6446,31270.8,31027.8
28,5988,31187.5,31052.8
29,6117,31211.4,31051.9
30,6263,31238.1,31092.5
31,6476,31276.4,31125
32,6514,31283.3,31116.7
33,6670,31315,31146.4
34,6606,31300,31116.7
35,6650,31308.3,31123.6
36,6940,31391.7,31143.1
37,6955,31400,31133.3
38,6964,31402.8,31133.3
39,6998,31419.4,31151.4
40,7082,31527.8,31208.3
41,7063,31498.6,31141.7
42,7043,31462.5,31095.8
43,7094,31554.2,30887.5
44,7137,31587.5,30987.5
45,7134,31585.6,31018.3
46,7128,31583.3,31016.7
47,7133,31585,31010.3
48,7131,31584.7,31016.7
49,7138,31588.9,30991.7
50,7135,31586.1,30980.6
51,7113,31578.1,31026.7
52,7116,31579.2,31036.4
53,7142,31591.7,31051.4
54,7121,31581.4,31015.6
55,7095,31554.4,31090.3
56,7097,31558.3,31084.2
57,7103,31566.7,31068.1
58,7145,31592.2,31064.2
59,7139,31590.3,31112.5
60,7140,31590.8,31079.4
61,7106,31572.2,31042.2
62,7120,31581.1,31021.4
63,7115,31578.3,31019.7
64,7118,31580.3,31019.4
65,7119,31580.8,31029.2
66,7130,31583.3,31033.3
67,7112,31577.5,31035
68,7144,31592.2,31053.1
69,7108,31573.1,31071.1
70,7117,31579.7,31045.8
71,7122,31581.9,31036.9
72,7099,31564.2,31069.2
73,7092,31543.1,31179.2
74,7010,31433.3,31316.7
75,6329,31250,31266.7
76,6383,31259.7,31216.7
77,6365,31256.9,31211.1
78,6214,31230.6,31209.7
79,5674,31140.3,31171.4
80,5861,31168.1,31176.4
81,5911,31177.8,31169.4
82,5967,31184.7,31118.1
83,5983,31186.1,31118.1
84,5893,31175,31143.1
85,5864,31168.6,31162.8
86,6102,31207.8,31161.1
87,5952,31183.3,31133.3
88,6092,31206.9,31187.5
89,6375,31258.6,31167.2
90,6342,31252.8,31168.1
91,6551,31288.9,31211.1
92,6777,31337.5,31205.6
93,6681,31316.7,31216.7
94,6707,31322.2,31233.3
95,6517,31283.3,31250
96,6328,31250,31250
97,6372,31258.3,31298.6
98,5681,31141.1,31313.3
99,6238,31233.3,31400
100,6392,31262.5,31358.3
101,6609,31300,31266.7
102,6285,31241.7,31244.4
103,5721,31147.2,31227.8
104,6051,31200,31183.3
105,5548,31116.7,31250
106,5450,31098.6,31268.9
107,5651,31136.1,31329.4
108,5621,31132.5,31312.8
109,5268,31066.7,31433.3
110,5191,31052.2,31447.2
111,4966,31015.8,31440.3
112,4900,31005.3,31415.3
113,4982,31016.7,31483.3
114,4847,30995.6,31555.3
115,5090,31033.3,31550
116,4877,31000,31550
117,5147,31044.4,31566.7
118,4865,30999.2,31602.8
119,5150,31045.3,31618.1
120,5405,31088.3,31528.6
121,5356,31082.2,31511.4
122,5615,31129.4,31553.1
123,5637,31133.3,31633.3
124,5409,31088.9,31636.7
125,5393,31086.1,31672.2
126,5389,31084.7,31623.9
127,5411,31089.2,31607.2
128,5384,31083.3,31633.3
129,4984,31016.7,31675
130,5331,31076.4,31776.4
131,5443,31097.2,31763.9
132,5503,31108.3,31741.7
133,5310,31072.2,31711.1
134,5624,31133.1,31654.2
135,5569,31120.6,31639.2
136,5323,31074.4,31706.4
137,4738,30970.6,31722.8
138,4697,30961.1,31723.3
139,4916,31008.3,31697.2
140,5182,31050,31800
141,5196,31052.8,31825
142,5157,31047.2,31762.5
143,5738,31149.7,31917.5
144,6196,31226.4,31863.9
145,6256,31236.1,31737.5
146,6130,31213.9,31779.2
147,6020,31194.4,31847.2
148,6158,31216.7,31850
149,6159,31216.7,31856.9
150,6709,31323.1,31762.5
151,6735,31328.6,31754.4
152,6748,31330.8,31743.6
