file,n_cities,init_temp,cooling_rate,iters_per_temp,best_cost,time_ms
wi29,29,6000,0.985,5000,27601,117
wi29,29,6000,0.985,7000,27601,161
wi29,29,6000,0.985,10000,27601,228
wi29,29,6000,0.99,5000,27601,174
wi29,29,6000,0.99,7000,27601,241
wi29,29,6000,0.99,10000,27601,341
wi29,29,10000,0.985,5000,27601,124
wi29,29,10000,0.985,7000,27601,170
wi29,29,10000,0.985,10000,27601,248
wi29,29,10000,0.99,5000,27601,185
wi29,29,10000,0.99,7000,27601,257
wi29,29,10000,0.99,10000,27601,365
dj38,38,6000,0.985,5000,6659,121
dj38,38,6000,0.985,7000,6659,169
dj38,38,6000,0.985,10000,6659,237
dj38,38,6000,0.99,5000,6659,178
dj38,38,6000,0.99,7000,6659,254
dj38,38,6000,0.99,10000,6659,358
dj38,38,10000,0.985,5000,6659,127
dj38,38,10000,0.985,7000,6659,180
dj38,38,10000,0.985,10000,6659,257
dj38,38,10000,0.99,5000,6659,193
dj38,38,10000,0.99,7000,6659,270
dj38,38,10000,0.99,10000,6659,383
qa194,194,6000,0.985,5000,9670,139
qa194,194,6000,0.985,7000,9458,190
qa194,194,6000,0.985,10000,9534,272
qa194,194,6000,0.99,5000,9459,207
qa194,194,6000,0.99,7000,9481,287
qa194,194,6000,0.99,10000,9738,413
qa194,194,10000,0.985,5000,9623,148
qa194,194,10000,0.985,7000,9819,205
qa194,194,10000,0.985,10000,9650,293
qa194,194,10000,0.99,5000,9705,224
qa194,194,10000,0.99,7000,9887,310
qa194,194,10000,0.99,10000,9540,439
uy734,734,6000,0.985,5000,86127,150
uy734,734,6000,0.985,7000,87736,210
uy734,734,6000,0.985,10000,86361,295
uy734,734,6000,0.99,5000,88697,224
uy734,734,6000,0.99,7000,85175,314
uy734,734,6000,0.99,10000,86380,453
uy734,734,10000,0.985,5000,86777,167
uy734,734,10000,0.985,7000,86588,233
uy734,734,10000,0.985,10000,85400,332
uy734,734,10000,0.99,5000,86337,249
uy734,734,10000,0.99,7000,85328,352
uy734,734,10000,0.99,10000,85297,500
zi929,929,6000,0.985,5000,109865,157
zi929,929,6000,0.985,7000,105756,222
zi929,929,6000,0.985,10000,104287,313
zi929,929,6000,0.99,5000,106431,235
zi929,929,6000,0.99,7000,105367,332
zi929,929,6000,0.99,10000,103175,472
zi929,929,10000,0.985,5000,108479,180
zi929,929,10000,0.985,7000,107661,249
zi929,929,10000,0.985,10000,106928,353
zi929,929,10000,0.99,5000,108902,267
zi929,929,10000,0.99,7000,104969,373
zi929,929,10000,0.99,10000,104339,533
