order,city_id,x,y
0,1092,23425,57432.8
1,1054,23392.8,57435
2,1051,23391.1,57431.4
3,1077,23416.4,57426.7
4,1082,23417.5,57429.7
5,1067,23400.3,57416.9
6,1050,23390.8,57424.4
7,1042,23386.4,57422.2
8,1023,23368.1,57308.6
9,1048,23389.7,57313.9
10,1084,23418.6,57347.5
11,1101,23433.1,57318.6
12,1111,23440,57320.6
13,1119,23445.3,57321.7
14,1132,23455,57312.8
15,1143,23460,57314.2
16,1142,23459.7,57311.1
17,1145,23462.2,57308.6
18,1152,23465.3,57310
19,1157,23467.8,57308.3
20,1160,23471.7,57299.7
21,1169,23481.4,57287.2
22,1151,23465.3,57274.2
23,1095,23429.7,57302.5
24,1075,23412.5,57305.3
25,1059,23397.2,57243.3
26,1060,23397.5,57216.7
27,1049,23390.8,57216.7
28,1039,23383.3,57210.8
29,1033,23378.3,57188.3
30,1068,23400.8,57178.6
31,1088,23421.4,57151.1
32,1072,23406.7,57170.8
33,1091,23424.7,57163.6
34,1165,23474.4,57166.9
35,1206,23518.6,57224.2
36,1237,23550,57233.3
37,1246,23554.2,57230.6
38,1230,23545,57212.8
39,1166,23477.5,57169.4
40,1193,23505,57189.2
41,1216,23530.6,57190.6
42,1253,23565,57182.8
43,1258,23575.3,57207.2
44,1261,23576.7,57214.2
45,1305,23639.7,57193.1
46,1308,23652.5,57216.7
47,1290,23619.4,57266.7
48,1280,23611.1,57251.9
49,1270,23598.1,57241.1
50,1247,23559.4,57338.9
51,1232,23547.5,57333.6
52,1201,23512.8,57367.2
53,1212,23527.5,57330.8
54,1174,23484.2,57306.4
55,1167,23478.1,57442.8
56,1249,23561.4,57556.7
57,1429,23833.6,57448.1
58,1431,23839.4,57428.3
59,1420,23825.3,57413.1
60,1408,23802.5,57399.2
61,1439,23850,57400
62,1445,23855.3,57382.5
63,1443,23853.9,57361.9
64,1440,23850.3,57359.2
65,1435,23844.4,57382.2
66,1428,23833.6,57355
67,1423,23829.7,57355.6
68,1449,23858.6,57338.1
69,1466,23883.3,57300
70,1463,23881.1,57263.6
71,1473,23895.3,57236.1
72,1487,23916.7,57216.7
73,1484,23908.3,57245.6
74,1482,23906.7,57249.7
75,1481,23904.4,57250.8
76,1479,23900,57266.7
77,1476,23897.5,57276.7
78,1477,23899.7,57270.6
79,1474,23895.6,57281.7
80,1471,23890,57299.4
81,1467,23883.3,57316.7
82,1464,23881.1,57335.6
83,1462,23879.2,57340.6
84,1453,23860.3,57359.2
85,1457,23870.6,57362.5
86,1456,23867.2,57373.6
87,1448,23857.5,57373.9
88,1455,23862.5,57393.3
89,1450,23859.2,57397.8
90,1451,23860,57406.7
91,1447,23856.7,57413.6
92,1442,23853.3,57426.7
93,1441,23850.3,57433.1
94,1437,23849.4,57438.6
95,1422,23828.1,57451.1
96,1407,23802.2,57476.9
97,1415,23816.4,57471.4
98,1425,23831.1,57475
99,1421,23825.3,57484.7
100,1426,23833.3,57491.4
