trial,cost,time_ms
0,111141,703
1,112676,708
2,112433,705
3,109792,703
4,109484,705
5,110955,720
6,113624,736
7,108672,726
8,107743,725
9,112095,733
10,108059,724
11,111022,718
12,109104,709
13,110462,744
14,110157,734
15,107516,725
16,108655,710
17,110514,757
18,108860,742
19,109030,757
20,106169,717
21,109921,727
22,108607,726
23,108143,726
24,109378,705
25,109815,708
26,108896,705
27,108634,704
28,106862,703
29,108298,717
30,107195,718
31,108563,715
32,109346,705
33,109246,720
34,110630,709
35,107843,708
36,109929,706
37,106979,703
38,108581,705
39,112652,709
40,110613,705
41,111283,716
42,109598,729
43,110857,713
44,108613,707
45,106554,707
46,110035,704
47,112114,725
48,112511,727
49,107163,708
50,110391,713
51,112063,718
52,108942,712
53,112584,707
54,110657,707
55,111065,711
56,110530,706
57,106597,708
58,111358,704
59,108744,704
60,111834,709
61,108214,709
62,107322,707
63,108721,706
64,109177,710
65,108981,705
66,109470,703
67,107938,702
68,111686,707
69,110058,706
70,108519,711
71,110511,707
72,108781,700
73,110187,703
74,107743,709
75,108439,709
76,108779,706
77,109863,708
78,108811,706
79,109516,708
80,108753,713
81,109292,710
82,111127,702
83,108524,702
84,108969,703
85,109842,702
86,107746,705
87,110316,704
88,110871,715
89,108864,714
90,109068,708
91,108346,709
92,110116,704
93,111206,705
94,108408,705
95,109627,708
96,109076,701
97,108347,702
98,108258,706
99,110999,705
