order,city_id,x,y
0,26,25235.6,51330
1,17,25173.9,51269.4
2,7,25030.8,51275.3
3,11,25121.9,51218.3
4,14,25162.2,51220.8
5,25,25234.2,51203.1
6,23,25224.2,51174.4
7,13,25158.3,51163.6
8,16,25168.9,51086.4
9,8,25067.8,51077.5
10,6,25010,51039.4
11,1,24748.3,50840
12,4,24904.4,51175
13,2,24758.9,51211.9
14,3,24827.2,51394.7
15,5,24996.1,51548.9
16,9,25100,51516.7
17,10,25103.3,51521.7
18,12,25150.8,51537.8
19,15,25167.8,51606.9
20,19,25211.4,51619.2
21,30,25252.5,51559.2
22,32,25253.9,51549.7
23,31,25253.9,51535.3
24,35,25265.8,51545.3
25,44,25278.3,51541.4
26,42,25277.2,51547.8
27,50,25284.7,51555.3
28,49,25283.6,51546.7
29,55,25288.1,51546.7
30,54,25287.5,51537.8
31,52,25286.1,51534.2
32,53,25286.7,51533.3
33,56,25290.8,51528.3
34,58,25292.5,51520.8
35,48,25283.3,51533.3
36,46,25281.1,51535
37,41,25275.8,51533.6
38,38,25270.6,51532.8
39,43,25278.3,51525.6
40,40,25270.8,51523.1
41,34,25263.6,51516.4
42,39,25270.8,51505.8
43,47,25281.4,51512.5
44,51,25286.1,51504.2
45,61,25306.9,51507.8
46,67,25322.5,51507.8
47,73,25341.9,51507.5
48,66,25320.6,51495.6
49,68,25325.3,51470
50,64,25315.3,51438.6
51,70,25337.5,51425
52,77,25374.4,51436.7
53,84,25416.9,51457.8
54,81,25400,51425
55,79,25396.9,51422.5
56,83,25416.9,51403.9
57,88,25440.8,51378.1
58,92,25469.7,51397.5
59,100,25497.5,51485.3
60,110,25566.9,51484.7
61,112,25574.7,51486.4
62,115,25610.3,51475.3
63,116,25622.5,51454.4
64,117,25645.8,51450
65,121,25686.4,51468.9
66,120,25683.9,51505.8
67,123,25700.8,51584.7
68,124,25708.3,51591.7
69,128,25734.7,51547.5
70,133,25772.2,51483.3
71,129,25751.1,51449.2
72,135,25779.2,51449.7
73,143,25839.2,51465.3
74,148,25857.5,51441.4
75,160,25944.7,51456.4
76,166,25983.3,51400
77,171,26021.7,51366.9
78,185,26078.1,51361.7
79,193,26133.3,51300
80,188,26108.1,51244.7
81,191,26123.6,51222.8
82,192,26133.3,51216.7
83,189,26116.7,51216.7
84,184,26077.2,51222.2
85,183,26076.7,51166.9
86,186,26083.6,51147.2
87,187,26099.7,51161.1
88,190,26123.6,51169.2
89,194,26150.3,51108.1
90,182,26074.7,51083.6
91,176,26048.9,51056.9
92,169,26008.6,51083.6
93,163,25957.8,51075.3
94,161,25950,51066.7
95,164,25958.3,51099.4
96,172,26033.3,51116.7
97,179,26050.6,51135.8
98,174,26033.6,51163.9
99,173,26033.3,51166.7
100,175,26033.6,51200.3
101,177,26050,51250
102,181,26067.2,51258.6
103,178,26050.3,51297.5
104,180,26055,51316.1
105,170,26016.7,51333.3
106,167,25983.6,51328.1
107,168,26000.3,51294.4
108,165,25966.7,51283.3
109,159,25937.5,51313.3
110,162,25951.7,51349.7
111,158,25928.3,51337.5
112,152,25872.5,51258.3
113,153,25880.8,51221.4
114,157,25904.2,51201.7
115,154,25883.1,51185.3
116,150,25867.8,51205.6
117,144,25847.8,51205.8
118,139,25823.6,51152.5
119,138,25816.7,51133.3
120,142,25833.3,51072.2
121,146,25856.7,51083.3
122,149,25866.7,51066.7
123,156,25900,51000
124,145,25850,51033.3
125,140,25826.7,51043.9
126,137,25808.3,51060.6
127,134,25775.8,51023.1
128,132,25765.3,51019.7
129,130,25751.9,50920.8
130,127,25723.1,51004.2
131,125,25716.7,51050
132,126,25717.5,51057.8
133,119,25666.9,51174.4
134,122,25696.1,51260.8
135,141,25829.7,51245.3
136,147,25857.5,51298.9
137,151,25871.9,51354.7
138,155,25888.1,51386.4
139,136,25793.3,51409.4
140,131,25758.3,51395.8
141,118,25650,51372.2
142,106,25545.8,51387.5
143,105,25538.9,51408.3
144,107,25549.7,51431.9
145,108,25550,51433.3
146,97,25492.2,51400.3
147,95,25483.3,51383.3
148,96,25490.6,51373.6
149,93,25478.1,51362.5
150,91,25459.2,51316.7
151,103,25531.9,51304.4
152,102,25510.6,51242.2
153,109,25560.3,51158.6
154,113,25585.6,51151.4
155,114,25609.4,51092.2
156,111,25567.5,50958.9
157,104,25533.3,50977.2
158,101,25500.8,50980.6
159,99,25495,50965.3
160,94,25480.6,50938.9
161,89,25444.4,50958.3
162,90,25451.4,50925
163,98,25495,50846.7
164,86,25429.7,50785.8
165,85,25419.4,50793.6
166,65,25316.7,50766.7
167,20,25214.2,50807.2
168,63,25313.9,50883.3
169,36,25266.7,50969.2
170,59,25298.6,51001.7
171,62,25311.9,51003.1
172,82,25404.7,51073.1
173,71,25339.2,51173.3
174,80,25400,51183.3
175,87,25433.3,51220
176,76,25368.6,51226.4
177,75,25363.6,51281.1
178,78,25377.8,51294.7
179,72,25340.6,51293.6
180,74,25358.9,51333.6
181,69,25326.7,51350.3
182,60,25300.8,51394.4
183,57,25291.9,51424.4
184,45,25279.2,51445.6
185,37,25266.7,51483.3
186,27,25235.6,51495.6
187,22,25223.3,51451.7
188,29,25243.1,51452.5
189,28,25242.8,51428.9
190,33,25256.9,51398.9
191,18,25210.8,51394.2
192,21,25214.4,51378.9
193,24,25233.3,51333.3
