order,city_id,x,y
0,3,21300,13016.7
1,7,22183.3,13133.3
2,9,22683.3,12716.7
3,13,24166.7,13250
4,14,25149.2,12365.8
5,16,26150,10550
6,24,27166.7,9833.33
7,27,27266.7,10383.3
8,25,27233.3,10450
9,20,26733.3,11683.3
10,26,27233.3,11783.3
11,28,27433.3,12400
12,29,27462.5,12992.2
13,23,27153.6,13203.3
14,22,27096.1,13415.8
15,21,27026.1,13051.9
16,17,26283.3,12766.7
17,18,26433.3,13433.3
18,19,26550,13850
19,15,26133.3,14500
20,12,23883.3,14533.3
21,11,23700,15933.3
22,10,23616.7,15866.7
23,6,21600,16500
24,2,20900,17066.7
25,1,20833.3,17100
26,5,21600,14966.7
27,8,22583.3,14300
28,4,21600,14150
