order,city_id,x,y
0,4359,56700,111317
1,4264,55755.8,111041
2,4280,55846.1,110907
3,4347,56483.3,109633
4,4346,56483.3,109433
5,4286,55882.2,108952
6,4289,55927.5,108939
7,4295,55988.1,109096
8,4068,54347.5,109227
9,4018,54150.6,108810
10,3968,54025.3,109161
11,3958,54006.4,108907
12,3973,54035.6,109475
13,4073,54355.6,109652
14,4067,54340.3,109777
15,4033,54203.6,110307
16,4030,54182.5,109776
17,3891,53716.7,110000
18,3839,53516.7,110333
19,3861,53583.3,110717
20,4088,54416.7,110267
21,4003,54124.7,110591
22,3902,53766.7,110517
23,3790,53333.3,110333
24,3697,52933.3,110083
25,3587,52500,109700
26,3560,52400,109833
27,3413,51883.3,109950
28,3183,51150,110200
29,3073,50800,110683
30,3076,50816.7,110467
31,3103,50883.3,110267
32,3128,50966.7,110017
33,2731,50033.3,110683
34,2634,49866.7,110900
35,2701,49966.7,110583
36,2751,50083.3,110783
37,2816,50216.7,111167
38,2415,49500,111800
39,2430,49516.7,112183
40,2368,49416.7,112383
41,2431,49516.7,112517
42,2740,50066.7,112100
43,2848,50266.7,112033
44,2934,50450,111650
45,2685,49933.3,111700
46,2635,49866.7,111367
47,2404,49483.3,111100
48,2405,49483.3,111433
49,2619,49833.3,111700
50,2591,49783.3,112150
51,2791,50166.7,112417
52,3062,50783.3,112467
53,3146,51033.3,112683
54,3077,50816.7,112667
55,2998,50633.3,112700
56,2741,50066.7,112250
57,2295,49283.3,112200
58,2187,49133.3,112083
59,2103,49000,111950
60,2702,49966.7,112550
61,2610,49816.7,111900
62,2576,49766.7,112450
63,2542,49700,112833
64,2397,49466.7,112667
65,2563,49733.3,112617
66,2879,50350,112633
67,2817,50216.7,113150
68,2904,50400,113250
69,2406,49483.3,113950
70,2467,49583.3,114367
71,2474,49600,114433
72,2416,49500,115067
73,2309,49300,115117
74,2370,49416.7,115400
75,2488,49616.7,115633
76,2297,49283.3,115833
77,2149,49083.3,116100
78,2489,49616.7,116800
79,2399,49466.7,116767
80,2163,49100,116517
81,2205,49150,116333
82,2868,50316.7,115867
83,2943,50466.7,115967
84,2952,50516.7,116033
85,2949,50500,116033
86,3078,50816.7,116283
87,2994,50616.7,116100
88,3224,51266.7,115917
89,3278,51433.3,116183
90,3286,51450,116300
91,3107,50900,116367
92,3212,51216.7,116617
93,3264,51400,116483
94,3279,51433.3,117050
95,3185,51150,116767
96,3159,51066.7,116650
97,3234,51300,116967
98,2799,50183.3,116933
99,2911,50416.7,117133
100,2869,50316.7,116950
101,2783,50150,116983
102,2533,49683.3,115983
103,2509,49633.3,115950
104,2468,49583.3,114967
105,2666,49900,115767
106,2782,50150,115833
107,2434,49516.7,115767
108,2577,49766.7,115717
109,2398,49466.7,115450
110,2139,49066.7,115183
111,2104,49000,115167
112,2407,49483.3,114983
113,2277,49250,116683
114,2276,49250,116617
115,2317,49316.7,117667
116,2408,49483.3,117283
117,2246,49200,117283
118,2383,49433.3,117550
119,2298,49283.3,117617
120,2299,49283.3,117650
121,2164,49100,117717
