trial,cost,time_ms
0,412634,1113
1,408820,1135
2,402191,1454
3,408666,1408
4,427680,1057
5,411337,1025
6,437802,815
7,417121,1127
8,428768,871
9,402228,1300
10,405466,1348
11,399602,1506
12,427249,1013
13,406516,1262
14,433027,870
15,413808,1042
16,414496,1372
17,407852,1108
18,409686,1078
19,415980,1114
20,415090,1113
21,417675,1070
22,413864,1243
23,403351,1165
24,397742,1356
25,391443,1559
26,420788,1050
27,409585,1229
28,409728,1285
29,403533,1246
30,417331,1042
31,401899,1616
32,419999,933
33,402382,1258
34,399503,1460
35,432658,834
36,430637,952
37,398833,1288
38,407313,1323
39,413622,1148
40,413613,1014
41,403443,1214
42,402007,1172
43,402259,1234
44,401135,1379
45,419661,996
46,398996,1364
47,425834,878
48,406241,1145
49,401524,1208
50,404262,1202
51,400891,1420
52,443408,817
53,422465,1066
54,413561,1169
55,409581,1117
56,395359,1706
57,407317,1213
58,407674,1143
59,404758,1242
60,447312,741
61,450588,697
62,418170,1127
63,417954,1091
64,406457,1093
65,408346,1239
66,410430,1045
67,432422,885
68,407349,986
69,420139,1014
70,427102,868
71,412624,1096
72,412379,1184
73,422861,924
74,413724,1055
75,411559,1089
76,412612,1189
77,423125,1020
78,410306,1116
79,415406,1066
80,424520,1017
81,414278,1265
82,427568,958
83,408174,1338
84,409461,1196
85,399332,1411
86,398744,1313
87,404725,1214
88,423462,1099
89,401179,1343
90,408223,1218
91,422563,945
92,404428,1198
93,404247,1173
94,411005,1026
95,414960,1071
96,407210,1030
97,409754,1323
98,416020,1057
99,407467,1239
