trial,cost,time_ms
0,660037,822
1,664658,801
2,653965,898
3,653160,956
4,669027,684
5,673283,704
6,652145,959
7,672191,660
8,682465,624
9,675048,684
10,666142,713
11,646780,1148
12,662701,757
13,666240,743
14,658247,810
15,645347,1076
16,660364,792
17,650227,925
18,659721,820
19,672493,699
20,660986,827
21,669158,683
22,654846,891
23,675058,662
24,650896,878
25,657866,854
26,653979,886
27,669878,723
28,650246,1085
29,659524,776
30,662131,793
31,657126,781
32,664002,661
33,653088,963
34,659185,874
35,644680,987
36,654053,814
37,660161,744
38,651864,933
39,653324,833
40,657816,844
41,652562,962
42,648857,945
43,656684,798
44,660155,862
45,661418,731
46,659359,870
47,651965,868
48,647214,916
49,670774,709
50,658804,827
51,653981,893
52,668277,741
53,662132,796
54,657569,822
55,655161,808
56,662550,825
57,661365,728
58,654004,943
59,655941,891
60,657838,735
61,656936,772
62,667234,793
63,656203,986
64,675849,637
65,645560,997
66,655087,817
67,653577,897
68,651360,940
69,653675,854
70,658477,788
71,658729,808
72,672458,689
73,655182,820
74,649688,954
75,666822,729
76,672286,713
77,652224,939
78,666955,691
79,650016,908
80,664412,718
81,660240,782
82,662999,729
83,671300,747
84,655341,923
85,650354,907
86,659088,822
87,655987,866
88,650513,1041
89,647529,987
90,650341,959
91,648340,915
92,660246,831
93,662262,829
94,644502,997
95,650846,887
96,673496,669
97,647882,1059
98,655951,864
99,659316,896
