file,n_cities,tabu_size,neighbor_sample,max_no_improve,best_cost,time_ms
wi29,29,10,50,300,28164,0
wi29,29,10,50,1000,28341,2
wi29,29,10,50,3000,27620,13
wi29,29,10,200,300,28189,2
wi29,29,10,200,1000,27601,10
wi29,29,10,200,3000,27601,105
wi29,29,10,500,300,27748,10
wi29,29,10,500,1000,27601,19
wi29,29,10,500,3000,27601,159
wi29,29,50,50,300,28942,1
wi29,29,50,50,1000,27901,7
wi29,29,50,50,3000,28213,18
wi29,29,50,200,300,27601,4
wi29,29,50,200,1000,27748,15
wi29,29,50,200,3000,27768,45
wi29,29,50,500,300,27748,15
wi29,29,50,500,1000,27748,45
wi29,29,50,500,3000,27601,109
wi29,29,100,50,300,29727,1
wi29,29,100,50,1000,28916,5
wi29,29,100,50,3000,29540,17
wi29,29,100,200,300,27614,7
wi29,29,100,200,1000,28029,23
wi29,29,100,200,3000,27748,67
wi29,29,100,500,300,28082,15
wi29,29,100,500,1000,27601,55
wi29,29,100,500,3000,27748,162
dj38,38,10,50,300,6918,0
dj38,38,10,50,1000,6786,3
dj38,38,10,50,3000,6805,7
dj38,38,10,200,300,6659,3
dj38,38,10,200,1000,6659,16
dj38,38,10,200,3000,6659,64
dj38,38,10,500,300,6659,14
dj38,38,10,500,1000,6659,41
dj38,38,10,500,3000,6659,179
dj38,38,50,50,300,7005,1
dj38,38,50,50,1000,7085,4
dj38,38,50,50,3000,6851,22
dj38,38,50,200,300,6663,9
dj38,38,50,200,1000,6660,17
dj38,38,50,200,3000,6659,46
dj38,38,50,500,300,6665,11
dj38,38,50,500,1000,6659,37
dj38,38,50,500,3000,6659,114
dj38,38,100,50,300,7220,2
dj38,38,100,50,1000,7078,6
dj38,38,100,50,3000,7293,30
dj38,38,100,200,300,6708,7
dj38,38,100,200,1000,6749,23
dj38,38,100,200,3000,6764,71
dj38,38,100,500,300,6659,18
dj38,38,100,500,1000,6659,77
dj38,38,100,500,3000,6659,170
qa194,194,10,50,300,13479,2
qa194,194,10,50,1000,12561,6
qa194,194,10,50,3000,12233,19
qa194,194,10,200,300,10082,11
qa194,194,10,200,1000,10090,18
qa194,194,10,200,3000,9969,56
qa194,194,10,500,300,10095,20
qa194,194,10,500,1000,9988,57
qa194,194,10,500,3000,9875,221
qa194,194,50,50,300,13374,4
qa194,194,50,50,1000,13043,11
qa194,194,50,50,3000,12993,19
qa194,194,50,200,300,10411,12
qa194,194,50,200,1000,9980,56
qa194,194,50,200,3000,10021,122
qa194,194,50,500,300,10364,35
qa194,194,50,500,1000,9808,98
qa194,194,50,500,3000,9900,212
qa194,194,100,50,300,13913,5
qa194,194,100,50,1000,13358,13
qa194,194,100,50,3000,12853,46
qa194,194,100,200,300,10469,17
qa194,194,100,200,1000,10204,77
qa194,194,100,200,3000,10100,268
qa194,194,100,500,300,10312,60
qa194,194,100,500,1000,10581,168
qa194,194,100,500,3000,9832,265
uy734,734,10,50,300,250524,4
uy734,734,10,50,1000,224644,13
uy734,734,10,50,3000,229385,13
uy734,734,10,200,300,126331,24
uy734,734,10,200,1000,121042,34
uy734,734,10,200,3000,122520,51
uy734,734,10,500,300,94949,75
uy734,734,10,500,1000,94505,115
uy734,734,10,500,3000,93513,203
uy734,734,50,50,300,242279,10
uy734,734,50,50,1000,232887,23
uy734,734,50,50,3000,225483,33
uy734,734,50,200,300,131330,41
uy734,734,50,200,1000,123030,71
uy734,734,50,200,3000,121220,87
uy734,734,50,500,300,97603,115
uy734,734,50,500,1000,97075,170
uy734,734,50,500,3000,93613,249
uy734,734,100,50,300,245942,16
uy734,734,100,50,1000,227976,25
uy734,734,100,50,3000,231229,41
uy734,734,100,200,300,124296,90
uy734,734,100,200,1000,120302,155
uy734,734,100,200,3000,119374,227
uy734,734,100,500,300,96716,186
uy734,734,100,500,1000,95448,351
uy734,734,100,500,3000,94200,699
zi929,929,10,50,300,193804,17
zi929,929,10,50,1000,175628,31
zi929,929,10,50,3000,171822,40
zi929,929,10,200,300,119646,53
zi929,929,10,200,1000,114821,89
zi929,929,10,200,3000,113721,142
zi929,929,10,500,300,113394,96
zi929,929,10,500,1000,107986,155
zi929,929,10,500,3000,104514,315
zi929,929,50,50,300,193695,27
zi929,929,50,50,1000,187574,41
zi929,929,50,50,3000,170940,73
zi929,929,50,200,300,122025,96
zi929,929,50,200,1000,115235,149
zi929,929,50,200,3000,114282,307
zi929,929,50,500,300,109429,212
zi929,929,50,500,1000,111953,275
zi929,929,50,500,3000,109347,512
zi929,929,100,50,300,223069,31
zi929,929,100,50,1000,194090,55
zi929,929,100,50,3000,185147,74
zi929,929,100,200,300,117553,206
zi929,929,100,200,1000,110788,347
zi929,929,100,200,3000,115675,442
zi929,929,100,500,300,111780,305
zi929,929,100,500,1000,107553,579
zi929,929,100,500,3000,108315,1262
