order,city_id,x,y
0,6,11297.5,42853.3
1,5,11183.3,42933.3
2,3,11133.3,42885.8
3,4,11155.8,42712.5
4,2,11108.6,42373.9
5,1,11003.6,42102.5
6,10,11438.3,42057.2
7,14,11511.4,42106.4
8,21,11715.8,41836.1
9,29,12058.3,42195.6
10,30,12149.4,42477.5
11,32,12300,42433.3
12,35,12372.8,42711.4
13,37,12421.7,42895.6
14,38,12645,42973.3
15,33,12355.8,43156.4
16,34,12363.3,43189.2
17,36,12386.7,43334.7
18,31,12286.9,43355.6
19,27,11963.1,43290.6
20,28,11973.1,43026.1
21,24,11785.3,42884.4
22,22,11751.1,42814.4
23,25,11822.8,42673.6
24,26,11846.9,42660.6
25,23,11770.3,42651.9
26,20,11690.6,42686.7
27,15,11522.2,42841.9
28,13,11503.1,42855.3
29,16,11569.4,43136.7
30,17,11583.3,43150
31,18,11595,43148.1
32,19,11600,43150
33,11,11461.1,43252.8
34,12,11485.6,43187.2
35,9,11423.9,43000.3
36,8,11416.7,42983.3
37,7,11310.3,42929.4
