order,city_id,x,y
0,227,32183.3,56066.7
1,220,32150,56116.7
2,231,32216.7,56016.7
3,239,32266.7,55900
4,251,32350,55833.3
5,244,32333.3,55966.7
6,284,32500,56033.3
7,274,32450,56033.3
8,277,32466.7,56166.7
9,267,32416.7,56166.7
10,268,32416.7,56333.3
11,272,32433.3,56350
12,280,32483.3,56350
13,305,32633.3,56350
14,330,32800,56416.7
15,332,32816.7,56516.7
16,364,33016.7,56483.3
17,368,33050,56483.3
18,340,32866.7,56466.7
19,336,32833.3,56433.3
20,301,32616.7,56483.3
21,306,32633.3,56750
22,294,32566.7,56883.3
23,312,32683.3,56883.3
24,343,32883.3,56800
25,331,32800,57050
26,292,32533.3,57133.3
27,253,32350,57200
28,237,32250,57300
29,269,32416.7,57383.3
30,262,32383.3,57500
31,263,32383.3,57600
32,270,32416.7,57583.3
33,296,32566.7,57483.3
34,295,32566.7,57366.7
35,317,32716.7,57466.7
36,313,32683.3,57633.3
37,325,32766.7,57783.3
38,326,32766.7,57883.3
39,322,32750,57750
40,337,32833.3,57716.7
41,338,32850,57683.3
42,353,32933.3,57650
43,348,32916.7,57733.3
44,375,33100,57733.3
45,374,33100,57633.3
46,384,33166.7,57583.3
47,387,33183.3,57466.7
48,372,33083.3,57433.3
49,401,33250,57333.3
50,419,33383.3,57550
51,462,33616.7,57633.3
52,454,33583.3,57583.3
53,465,33650,57533.3
54,470,33683.3,57566.7
55,479,33750,57483.3
56,453,33583.3,57300
57,459,33600,57133.3
58,447,33533.3,56933.3
59,439,33500,56866.7
60,448,33538.9,56888.6
61,446,33533.3,56900
62,451,33550,56900
63,438,33500,56750
64,411,33333.3,56933.3
65,424,33416.7,57066.7
66,395,33233.3,57133.3
67,381,33133.3,57150
68,352,32933.3,57116.7
69,365,33033.3,57000
70,390,33200,56783.3
71,392,33216.7,56683.3
72,416,33366.7,56483.3
73,418,33383.3,56416.7
74,435,33483.3,56150
75,400,33250,56016.7
76,378,33116.7,55983.3
77,370,33083.3,55966.7
78,369,33066.7,55850
79,360,33000,55783.3
80,386,33183.3,55700
81,414,33350,55633.3
82,413,33350,55616.7
83,423,33416.7,55633.3
84,432,33466.7,55616.7
85,450,33550,55666.7
86,434,33483.3,55566.7
87,457,33600,55333.3
88,437,33500,55216.7
89,431,33466.7,55200
90,433,33483.3,55150
91,430,33466.7,55116.7
92,417,33383.3,55083.3
93,441,33516.7,54916.7
94,502,33900,55150
95,487,33850,55166.7
96,477,33750,55283.3
97,505,33933.3,55266.7
98,568,34283.3,54983.3
99,596,34366.7,55166.7
100,603,34370,55225
101,569,34283.3,55233.3
102,641,34516.7,55250
103,661,34650,55233.3
104,668,34666.7,55266.7
105,675,34716.7,55416.7
106,693,34800,55233.3
107,679,34733.3,55266.7
108,683,34750,55333.3
109,694,34800,55366.7
110,724,34900,55283.3
111,723,34900,54950
112,734,34966.7,54950
113,692,34800,54916.7
114,712,34866.7,54866.7
115,652,34600,54550
116,667,34666.7,54166.7
117,634,34483.3,54333.3
118,566,34266.7,54316.7
119,595,34366.7,54066.7
120,594,34366.7,53833.3
121,608,34400,53783.3
122,593,34366.7,53766.7
123,549,34183.3,53783.3
124,545,34166.7,53833.3
125,546,34166.7,53850
126,553,34200,53933.3
127,565,34266.7,53933.3
128,540,34116.7,53950
129,531,34066.7,53933.3
130,516,33983.3,53983.3
131,482,33800,54000
132,464,33650,53800
133,452,33566.7,53850
134,440,33516.7,53783.3
135,461,33616.7,53716.7
136,495,33883.3,53500
137,467,33683.3,53450
138,468,33683.3,53550
139,415,33366.7,53666.7
140,403,33266.7,53783.3
141,393,33233.3,53850
142,398,33250,54016.7
143,407,33283.3,53933.3
144,396,33250,53900
145,397,33250,53916.7
146,385,33183.3,53900
147,388,33200,53800
148,361,33016.7,53700
149,358,33000,53633.3
150,318,32750,53483.3
151,302,32633.3,53300
152,297,32583.3,53383.3
153,293,32566.7,53416.7
154,285,32516.7,53483.3
155,278,32483.3,53516.7
156,279,32483.3,53716.7
157,309,32666.7,53616.7
158,319,32750,53733.3
159,327,32783.3,53833.3
160,315,32700,53966.7
161,282,32500,54016.7
162,303,32633.3,53900
163,249,32350,53833.3
164,221,32166.7,53750
165,210,32100,53750
166,204,32066.7,53766.7
167,222,32166.7,54116.7
168,214,32116.7,54066.7
169,228,32200,54066.7
170,250,32350,54133.3
171,254,32366.7,54183.3
172,216,32150,54200
173,206,32083.3,54250
174,193,32016.7,54200
175,197,32033.3,54183.3
176,188,32000,54133.3
177,185,31983.3,54166.7
178,172,31900,54150
179,158,31833.3,54166.7
180,164,31866.7,54200
181,144,31783.3,54333.3
182,136,31733.3,54416.7
183,116,31566.7,54550
184,102,31500,54716.7
185,101,31483.3,54833.3
186,106,31516.7,54966.7
187,94,31416.7,54916.7
188,87,31366.7,55083.3
189,103,31500,55166.7
190,96,31433.3,55233.3
191,99,31466.7,55166.7
192,78,31316.7,55200
193,64,31250,55333.3
194,82,31350,55383.3
195,97,31450,55416.7
196,111,31533.3,55583.3
197,114,31550,55550
198,117,31583.3,55466.7
199,130,31683.3,55433.3
200,139,31750,55466.7
201,155,31816.7,55500
202,175,31900,55466.7
203,166,31883.3,55433.3
204,189,32000,55483.3
205,203,32050,55383.3
206,226,32183.3,55283.3
207,241,32300,55333.3
208,264,32400,55350
209,276,32466.7,55233.3
210,304,32633.3,55116.7
211,273,32450,55033.3
212,260,32383.3,55066.7
213,225,32183.3,55033.3
214,219,32150,55050
215,223,32166.7,55016.7
216,232,32233.3,54983.3
217,238,32266.7,54916.7
218,218,32150,54950
219,211,32100,54866.7
220,217,32150,54883.3
221,202,32050,54866.7
222,194,32016.7,55066.7
223,183,31966.7,55050
224,174,31900,55133.3
225,153,31816.7,55183.3
226,146,31783.3,55150
227,154,31816.7,55216.7
228,149,31800,55333.3
229,135,31716.7,55333.3
230,138,31750,55016.7
231,122,31633.3,55000
232,129,31683.3,54766.7
233,148,31800,54716.7
234,173,31900,54783.3
235,177,31916.7,54733.3
236,152,31816.7,54666.7
237,128,31683.3,54650
238,141,31766.7,54800
239,145,31783.3,54750
240,198,32033.3,54566.7
241,201,32050,54633.3
242,258,32383.3,54350
243,283,32500,54416.7
244,275,32466.7,54316.7
245,307,32650,54250
246,320,32750,54400
247,308,32650,54450
248,286,32516.7,54533.3
249,287,32516.7,54583.3
250,290,32533.3,54566.7
251,259,32383.3,54666.7
252,288,32516.7,54683.3
253,255,32366.7,54766.7
254,311,32683.3,54633.3
255,299,32616.7,54600
256,333,32833.3,54766.7
257,356,32983.3,54583.3
258,350,32933.3,54266.7
259,354,32950,54216.7
260,349,32933.3,53950
261,362,33016.7,53950
262,366,33050,54066.7
263,367,33050,54150
264,382,33150,54150
265,394,33233.3,54383.3
266,391,33216.7,54383.3
267,399,33250,54333.3
268,404,33266.7,54416.7
269,427,33466.7,54200
270,466,33666.7,54200
271,524,34033.3,54283.3
272,532,34066.7,54500
273,547,34166.7,54666.7
274,554,34200,54750
275,528,34050,54783.3
276,496,33883.3,54716.7
277,474,33733.3,54750
278,469,33683.3,54650
279,471,33716.7,54533.3
280,456,33600,54316.7
281,444,33533.3,54433.3
282,425,33450,54533.3
283,429,33466.7,54666.7
284,428,33466.7,54650
285,445,33533.3,54600
286,420,33400,54683.3
287,409,33333.3,54783.3
288,389,33200,54750
289,376,33116.7,54816.7
290,377,33116.7,54833.3
291,380,33133.3,54933.3
292,383,33166.7,54966.7
293,373,33100,55133.3
294,406,33266.7,55116.7
295,405,33266.7,55100
296,363,33016.7,55050
297,347,32916.7,54966.7
298,359,33000,55133.3
299,344,32900,55233.3
300,355,32966.7,55400
301,341,32883.3,55416.7
302,334,32833.3,55483.3
303,342,32883.3,55516.7
304,351,32933.3,55516.7
305,323,32766.7,55433.3
306,310,32666.7,55450
307,291,32533.3,55500
308,298,32600,55583.3
309,316,32716.7,55600
310,324,32766.7,55633.3
311,321,32750,55650
312,300,32616.7,55833.3
313,329,32800,55800
314,328,32783.3,55900
315,339,32866.7,55916.7
316,345,32900,56083.3
317,346,32900,56133.3
318,335,32833.3,56183.3
319,371,33083.3,56183.3
320,408,33300,56350
321,410,33333.3,56466.7
322,422,33413.1,56500.6
323,436,33483.3,56483.3
324,442,33516.7,56400
325,458,33600,56350
326,478,33750,56466.7
327,475,33733.3,56333.3
328,486,33833.3,56300
329,507,33933.3,56250
330,530,34050,56200
331,538,34095.6,56214.2
332,533,34066.7,56300
333,573,34290.6,56388.9
334,599,34366.7,56400
335,592,34351.7,56398.3
336,606,34383.3,56383.3
337,628,34450,56250
338,629,34450,56283.3
339,644,34522.8,56277.8
340,651,34589.4,56252.8
341,654,34600,56133.3
342,666,34665,56219.4
343,672,34698.3,56217.5
344,678,34726.4,56220
345,707,34850,56116.7
346,728,34900,56183.3
347,702,34828.6,56139.4
348,674,34715.3,56073.3
349,660,34646.9,56062.8
350,682,34742.2,56098.3
351,695,34800,56216.7
352,704,34833.3,56216.7
353,730,34905.3,56194.4
354,733,34922.8,56159.7
355,729,34905,56168.3
356,726,34900,56133.3
357,685,34761.7,56223.6
358,688,34764.2,56213.9
359,687,34763.3,56385.3
360,705,34833.3,56233.3
361,721,34883.3,56233.3
362,731,34908.3,56208.3
363,732,34909.7,56152.2
364,718,34883.3,56183.3
365,715,34875,56258.9
366,720,34883.3,56216.7
367,708,34850,56216.7
368,709,34850,56233.3
369,713,34866.7,56166.7
370,717,34883.3,56150
371,714,34870.6,56133.6
372,727,34900,56150
373,719,34883.3,56200
374,710,34858.1,56170.8
375,697,34801.7,56334.2
376,691,34790.3,56350
377,696,34800,56233.3
378,701,34816.7,56183.3
379,703,34833.3,56116.7
380,698,34803.1,56085.8
381,725,34900,56100
382,722,34885.3,56060.6
383,711,34860.3,56052.2
384,700,34816.7,56100
385,706,34850,56083.3
386,716,34877.2,56029.7
387,699,34813.1,56044.7
388,686,34762.5,56020.6
389,690,34781.1,56053.3
390,681,34733.6,56036.7
391,669,34666.7,56000
392,626,34450,55783.3
393,598,34366.7,55783.3
394,587,34350,55766.7
395,574,34300,55966.7
396,563,34250,55933.3
397,529,34050,55883.3
398,525,34033.3,55650
399,484,33816.7,55550
400,491,33866.7,55550
401,506,33933.3,55683.3
402,510,33950,55850
403,521,34000,55666.7
404,550,34183.3,55733.3
405,561,34233.3,55733.3
406,583,34333.3,55650
407,597,34366.7,55516.7
408,582,34333.3,55450
409,639,34500,55583.3
410,635,34483.3,55633.3
411,636,34483.3,55650
412,653,34600,55483.3
413,676,34716.7,55533.3
414,656,34633.3,55616.7
415,648,34566.7,55700
416,670,34683.3,55683.3
417,649,34583.3,55833.3
418,647,34550,55883.3
419,662,34650,55866.7
420,657,34633.3,55966.7
421,677,34716.7,55950
422,673,34700,55900
423,680,34733.3,55716.7
424,684,34750,55683.3
425,689,34766.7,55750
426,620,34433.3,55983.3
427,638,34497.5,56037.2
428,625,34449.7,56079.2
429,627,34450,56166.7
430,655,34605,56356.4
431,658,34633.3,56333.3
432,646,34533.3,56316.7
433,643,34521.9,56393.6
434,640,34500,56383.3
435,616,34416.7,56466.7
436,619,34419.7,56422.5
437,624,34442.2,56443.6
438,615,34411.7,56402.2
439,631,34453.3,56390.6
440,645,34533.3,56300
441,609,34400,56333.3
442,605,34383.3,56283.3
443,570,34283.3,56216.7
444,555,34200,56216.7
445,552,34189.2,56339.4
446,541,34133.3,56400
447,534,34066.7,56383.3
448,497,33883.3,56450
449,511,33950,56750
450,488,33850,56883.3
451,503,33900,56833.3
452,492,33866.7,57000
453,489,33850,57016.7
454,514,33966.7,57100
455,557,34200,57100
456,556,34200,56983.3
457,542,34150,56950
458,548,34166.7,56683.3
459,564,34250,56683.3
460,610,34400,56533.3
461,604,34382.8,56541.7
462,663,34650,56600
