order,city_id,x,y
0,750,20171.7,28571.4
1,747,20167.5,28556.4
2,752,20172.8,28542.8
3,739,20162.5,28538.9
4,742,20164.2,28525
5,733,20154.7,28525.3
6,731,20152.5,28536.7
7,692,20121.7,28528.6
8,705,20136.1,28517.2
9,715,20142.5,28531.7
10,722,20148.3,28521.1
11,764,20185.3,28495
12,790,20214.2,28558.3
13,801,20221.7,28573.9
14,783,20201.9,28577.2
15,770,20191.7,28568.3
16,799,20218.6,28589.2
17,800,20220,28578.6
18,792,20214.7,28595.3
19,786,20206.4,28581.9
20,772,20194.4,28581.7
21,785,20205,28595
22,776,20199.2,28600
23,771,20193.1,28636.1
24,749,20170.8,28618.1
25,757,20179.4,28609.7
26,775,20198.9,28620
27,777,20199.4,28631.9
28,759,20183.3,28633.3
29,753,20173.1,28630.3
30,769,20190,28620.6
31,735,20158.3,28601.1
32,728,20150,28583.3
33,702,20131.7,28591.1
34,725,20149.4,28595.3
35,719,20145.8,28594.7
36,729,20150,28616.7
37,714,20142.2,28622.8
38,689,20119.4,28583.9
39,670,20100.8,28610.3
40,660,20098.6,28611.7
41,667,20100,28638.3
42,643,20080,28658.3
43,671,20101.4,28645.3
44,669,20100.6,28652.8
45,678,20106.4,28652.8
46,684,20113.9,28685.6
47,659,20097.8,28680.8
48,703,20133.9,28650.6
49,698,20128.3,28631.1
50,741,20163.9,28652.5
51,748,20168.3,28671.4
52,754,20174.7,28662.8
53,743,20165.3,28679.4
54,758,20180.8,28649.2
55,767,20187.2,28667.8
56,789,20212.2,28681.7
57,804,20224.4,28702.5
58,788,20208.6,28721.4
59,784,20204.2,28714.7
60,803,20222.2,28711.1
61,813,20233.6,28719.7
62,814,20233.6,28746.7
63,815,20237.2,28746.1
64,833,20400,28900
65,842,20450,29050
66,828,20366.7,28983.3
67,819,20300,28933.3
68,812,20233.3,28916.7
69,766,20185.8,28735.6
70,724,20149.2,28737.2
71,646,20083.3,28783.3
72,629,20016.7,28850
73,628,20000,28933.3
74,592,19783.3,29200
75,593,19783.3,29366.7
76,630,20016.7,29266.7
77,796,20216.7,29300
78,730,20150,29533.3
79,614,19911.1,29691.7
80,571,19700,29666.7
81,575,19716.7,29500
82,398,19233.3,29250
83,361,18983.3,29300
84,369,19016.7,29733.3
85,372,19033.3,29783.3
86,351,18916.7,29816.7
87,352,18916.7,29833.3
88,330,18650,29783.3
89,326,18600,29833.3
90,319,18483.3,29416.7
91,315,18450,29450
92,271,18133.3,29600
93,261,18066.7,29850
94,270,18116.7,29850
95,265,18100,29900
96,266,18100,29933.3
97,272,18133.3,29916.7
98,282,18200,29916.7
99,286,18216.7,29800
100,316,18450,29816.7
101,304,18350,29883.3
102,310,18383.3,29866.7
103,305,18350,29916.7
104,298,18316.7,29983.3
105,307,18366.7,30083.3
106,294,18300,30216.7
107,273,18133.3,30133.3
108,274,18133.3,30150
109,257,18033.3,30150
110,262,18083.3,30450
