trial,cost,time_ms
0,855407,1080
1,865170,1081
2,913336,707
3,868771,1011
4,893747,793
5,856523,1055
6,856850,1121
7,890342,827
8,846888,1156
9,884349,792
10,902194,855
11,876470,830
12,869846,1012
13,855577,1129
14,845431,1293
15,872968,987
16,875658,887
17,845728,1213
18,862945,1173
19,889980,822
20,844534,1268
21,858663,1010
22,860272,1023
23,872868,890
24,845105,1277
25,873631,923
26,878939,882
27,880952,833
28,856813,971
29,874991,905
30,859831,1085
31,867916,1006
32,868300,906
33,836381,1347
34,861611,1041
35,850281,1135
36,863113,1047
37,872435,965
38,844629,1130
39,895659,791
40,903177,759
41,870531,976
42,868295,1010
43,863071,1065
44,883640,872
45,866583,988
46,845366,1154
47,870371,925
48,880369,851
49,891519,841
50,869154,926
51,861643,1071
52,868038,914
53,863696,1044
54,856513,1148
55,875306,902
56,874161,1002
57,879048,840
58,856917,1015
59,849927,1176
60,899479,789
61,847012,1026
62,883076,859
63,890764,844
64,880376,862
65,886271,923
66,875838,901
67,879459,1002
68,897103,790
69,873418,971
70,848681,1176
71,884295,858
72,852900,1141
73,864903,1110
74,862042,972
75,835440,1338
76,848130,1187
77,845944,1047
78,884786,861
79,866595,988
80,859204,1068
81,851977,1083
82,870061,1006
83,861663,1031
84,878428,849
85,855176,1162
86,895818,849
87,871189,1006
88,863078,1012
89,878439,959
90,880697,944
91,873039,1023
92,840420,1343
93,851388,1104
94,866230,1033
95,870546,1090
96,842154,1379
97,845310,1235
98,868885,1013
99,894847,836
